filename,timestamp,file_size_bytes
pageviews-20250116-040000.gz,16-Jan-2025 04:59,52452001
pageviews-20250116-050000.gz,16-Jan-2025 05:49,54315724
pageviews-20250116-060000.gz,16-Jan-2025 06:59,56182112
pageviews-20250116-070000.gz,16-Jan-2025 07:59,61109774
pageviews-20250116-080000.gz,16-Jan-2025 09:00,64231454
pageviews-20250116-090000.gz,16-Jan-2025 09:59,65941518
pageviews-20250116-100000.gz,16-Jan-2025 11:00,68246918
pageviews-20250116-110000.gz,16-Jan-2025 11:59,68136058
pageviews-20250116-120000.gz,16-Jan-2025 13:01,68803041
pageviews-20250116-130000.gz,16-Jan-2025 14:00,70299757
pageviews-20250116-140000.gz,16-Jan-2025 15:00,71877863
pageviews-20250116-150000.gz,16-Jan-2025 16:02,72786909
pageviews-20250116-160000.gz,16-Jan-2025 17:11,71624118
pageviews-20250116-170000.gz,16-Jan-2025 18:00,70035270
pageviews-20250116-180000.gz,16-Jan-2025 19:00,67995748
pageviews-20250116-190000.gz,16-Jan-2025 20:01,66354164
pageviews-20250116-200000.gz,16-Jan-2025 21:11,65629856
pageviews-20250116-210000.gz,16-Jan-2025 22:00,65447779
pageviews-20250116-220000.gz,16-Jan-2025 23:01,62715644
pageviews-20250116-230000.gz,17-Jan-2025 00:00,57819153
pageviews-20250117-000000.gz,17-Jan-2025 01:00,51761546
pageviews-20250117-010000.gz,17-Jan-2025 01:59,47847828
pageviews-20250117-020000.gz,17-Jan-2025 02:59,45353271
pageviews-20250117-030000.gz,17-Jan-2025 04:00,44136894
pageviews-20250117-040000.gz,17-Jan-2025 05:00,43683619
pageviews-20250117-050000.gz,17-Jan-2025 05:59,43893847
pageviews-20250117-060000.gz,17-Jan-2025 06:59,45928043
pageviews-20250117-070000.gz,17-Jan-2025 07:59,50248085
pageviews-20250117-080000.gz,17-Jan-2025 08:59,54601095
pageviews-20250117-090000.gz,17-Jan-2025 10:00,58487641
pageviews-20250117-100000.gz,17-Jan-2025 11:01,61067104
pageviews-20250117-110000.gz,17-Jan-2025 12:00,61933691
pageviews-20250117-120000.gz,17-Jan-2025 13:00,64631380
pageviews-20250117-130000.gz,17-Jan-2025 14:00,66088562
pageviews-20250117-140000.gz,17-Jan-2025 15:00,68107322
pageviews-20250117-150000.gz,17-Jan-2025 16:01,68701533
pageviews-20250117-160000.gz,17-Jan-2025 17:00,67923262
pageviews-20250117-170000.gz,17-Jan-2025 18:01,65996110
pageviews-20250117-180000.gz,17-Jan-2025 19:02,64317303
pageviews-20250117-190000.gz,17-Jan-2025 20:00,64036918
pageviews-20250117-200000.gz,17-Jan-2025 21:03,63066670
pageviews-20250117-210000.gz,17-Jan-2025 22:01,62350477
pageviews-20250117-220000.gz,17-Jan-2025 23:01,60545423
pageviews-20250117-230000.gz,18-Jan-2025 00:01,56365539
pageviews-20250118-000000.gz,18-Jan-2025 01:02,50655228
pageviews-20250118-010000.gz,18-Jan-2025 02:01,46684570
pageviews-20250118-020000.gz,18-Jan-2025 03:01,43639691
pageviews-20250118-030000.gz,18-Jan-2025 03:59,41950486
pageviews-20250118-040000.gz,18-Jan-2025 05:00,41521307
pageviews-20250118-050000.gz,18-Jan-2025 06:00,41526579
pageviews-20250118-060000.gz,18-Jan-2025 06:59,42322754
pageviews-20250118-070000.gz,18-Jan-2025 07:59,45257352
pageviews-20250118-080000.gz,18-Jan-2025 09:01,48526956
pageviews-20250118-090000.gz,18-Jan-2025 10:00,51863907
pageviews-20250118-100000.gz,18-Jan-2025 11:01,54748268
pageviews-20250118-110000.gz,18-Jan-2025 12:00,56781374
